um,degrees
6.800469799,1.017
6.871812081,1.2227
6.943154362,1.7526
7.014496644,2.1341
7.085838926,2.6758
7.157181208,2.9319
7.22852349,3.1902
7.299865772,3.3624
7.371208054,3.5959
7.442550336,3.8684
7.513892617,4.1019
7.585234899,4.1215
7.656577181,4.1159
7.727919463,4.2775
7.799261745,4.4218
7.870604027,4.123
7.941946309,4.2255
8.013288591,4.2709
8.084630872,4.247
8.155973154,4.2793
8.227315436,4.1077
8.298657718,4.3327
8.37,4.2314
8.441342282,4.3146
8.512684564,4.3388
8.584026846,4.4318
8.655369128,4.3824
8.726711409,4.2349
8.798053691,4.2956
8.869395973,4.2941
8.940738255,4.1098
9.012080537,4.0711
9.083422819,4.0623
9.154765101,4.0475
9.226107383,4.1201
9.297449664,4.0264
9.368791946,3.9113
9.440134228,4.0241
9.51147651,3.8715
9.582818792,3.7913
9.654161074,3.5475
9.725503356,3.6135
9.796845638,3.3866
9.868187919,3.2964
9.939530201,3.2455
10.01087248,3.0593
10.08221477,3.0527
10.15355705,2.9906
10.22489933,2.6645
10.29624161,2.4914
10.36758389,2.6793
10.43892617,2.4139
10.51026846,2.4536
10.58161074,2.3202
10.65295302,2.1153
10.7242953,1.7435
10.79563758,1.3985
10.86697987,1.2682
10.93832215,0.99431
11.00966443,0.81945
11.08100671,0.62638
11.15234899,0.80253
11.22369128,0.87769
11.29503356,0.99574
11.36637584,1.0393
11.43771812,1.2804
11.5090604,1.4416
11.58040268,1.4483
11.65174497,1.5052
11.72308725,1.6006
11.79442953,1.5191
11.86577181,1.6876
11.93711409,1.6054
12.00845638,1.6069
12.07979866,1.699
12.15114094,1.858
12.22248322,1.8611
12.2938255,1.95
12.36516779,1.9495
12.43651007,1.9947
12.50785235,2.2009
12.57919463,2.3821
12.65053691,2.1884
12.72187919,2.2156
12.79322148,2.199
12.86456376,2.246
12.93590604,2.4092
13.00724832,2.2387
13.0785906,2.323
13.14993289,2.4222
13.22127517,2.7005
13.29261745,2.6558
13.36395973,2.6923
13.43530201,2.3956
13.5066443,2.5187
13.57798658,2.5382
13.64932886,2.7389
13.72067114,2.7491
13.79201342,2.7946
13.8633557,2.722
13.93469799,2.622
14.00604027,2.5534
14.07738255,2.4755
14.14872483,2.4427
14.22006711,2.4242
14.2914094,2.4122
14.36275168,2.1983
14.43409396,2.1465
14.50543624,2.0722
14.57677852,1.8324
14.64812081,1.7973
14.71946309,1.7415
14.79080537,1.6317
14.86214765,1.8245
14.93348993,1.9026
15.00483221,1.7323
15.0761745,1.6572
15.14751678,1.5988
15.21885906,1.6344
15.29020134,1.5994
15.36154362,1.7284
15.43288591,1.5567
15.50422819,1.6324
15.57557047,1.854
15.64691275,1.8626
15.71825503,1.9006
15.78959732,1.7625
15.8609396,1.9367
15.93228188,1.8129
16.00362416,2.0311
16.07496644,1.8664
16.14630872,7.345
16.21765101,2.3295
16.28899329,2.2182
16.36033557,2.1698
16.43167785,2.3028
16.50302013,2.2763
16.57436242,1.9157
16.6457047,2.0575
16.71704698,2.5655
16.78838926,2.7163
16.85973154,3.0298
16.93107383,3.1757
17.00241611,3.3623
17.07375839,2.9798
17.14510067,3.4243
17.21644295,3.6327
17.28778523,2.941
17.35912752,3.1746
17.4304698,3.4277
17.50181208,2.9215
17.57315436,3.1108
17.64449664,3.2274
17.71583893,3.112
17.78718121,2.9716
17.85852349,3.2514
17.92986577,2.9791
18.00120805,3.1543
18.07255034,2.8199
18.14389262,2.8813
18.2152349,2.9495
18.28657718,2.6226
18.35791946,2.6547
18.42926175,2.6509
18.50060403,2.4843
18.57194631,2.7279
18.64328859,2.331
18.71463087,2.3604
18.78597315,2.1366
18.85731544,2.2341
18.92865772,1.9915
19,2.5642
