um,angle
13.6876254181,2.4009
13.7598662207,2.3803
13.8321070234,2.5864
13.9043478261,2.4411
13.9765886288,2.3674
14.0488294314,2.2352
14.1210702341,2.3304
14.1933110368,2.5132
14.2655518395,2.4765
14.3377926421,2.4881
14.4100334448,2.7983
14.4822742475,2.7546
14.5545150502,2.8984
14.6267558528,2.9075
14.6989966555,3.0223
14.7712374582,3.0534
14.8434782609,3.2381
14.9157190635,3.174
14.9879598662,3.3404
15.0602006689,3.6658
15.1324414716,3.5656
15.2046822742,3.6081
15.2769230769,3.7134
15.3491638796,3.7751
15.4214046823,3.7508
15.4936454849,4.1697
15.5658862876,4.0621
15.6381270903,3.8747
15.710367893,3.994
15.7826086957,4.3044
15.8548494983,4.0648
15.927090301,3.9358
15.9993311037,4.1951
16.0715719064,4.2025
16.143812709,4.3804
16.2160535117,4.4008
16.2882943144,4.2097
16.3605351171,4.256
16.4327759197,4.3014
16.5050167224,4.2269
16.5772575251,4.0502
16.6494983278,4.0852
16.7217391304,4.0241
16.7939799331,3.9257
16.8662207358,3.8574
16.9384615385,3.8358
17.0107023411,3.8266
17.0829431438,3.801
17.1551839465,3.8899
17.2274247492,3.884
17.2996655518,3.7682
17.3719063545,3.8604
17.4441471572,3.7341
17.5163879599,3.7118
17.5886287625,3.6722
17.6608695652,3.607
17.7331103679,3.6829
17.8053511706,3.5738
17.8775919732,3.6125
17.9498327759,3.5715
18.0220735786,3.5002
18.0943143813,3.6451
18.1665551839,3.6323
18.2387959866,3.6797
18.3110367893,3.7997
18.383277592,3.7797
18.4555183946,3.825
18.5277591973,3.7416
18.6,3.8348
